"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Eryngium","Eryngium campestre","","0",3,"7",32.5,NA,"",1.259,"10","Autumn",81.47383797
"Eryngium campestre","Eryngium campestre","","0",3,"7",32.5,NA,"",1.259,"10","Autumn",81.47383797
"Eryngium maritimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum aurigeranum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum cheiranthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum repandum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum virgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erysimum x cheiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythranthe moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eschscholzia californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euonymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euonymus europaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eupatorium cannabinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia","Euphorbia cyparissias","3","1",3,"4",20,1,"",2.03,"7","Summer",256.6
"Euphorbia amygdaloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia chamaesyce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia characias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia cyparissias","Euphorbia cyparissias","3","1",3,"4",20,1,"",2.03,"7","Summer",256.6
"Euphorbia esula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia esula esula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia exigua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia flavicoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia helioscopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia helioscopia helioscopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia humifusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia lathyris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia maculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia nicaeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia nutans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia paralias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia platyphyllos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia serrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia sulcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia taurinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia terracina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia tommasiniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia verrucosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphrasia","Euphrasia nemorosa_Euphrasia officinalis","","0",6,"5",26.25,NA,"",0.140494643,"11","Autumn",129.565
"Euphrasia nemorosa","Euphrasia nemorosa","","0",6,"5",35,NA,"",0.157275,"11","Autumn",29.5
"Euphrasia officinalis","Euphrasia officinalis","","0",6,"5",17.5,NA,"",0.123714286,"11","Autumn",229.63
"Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagopyrum esculentum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagopyrum tataricum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus sylvatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcaria vulgaris","Falcaria vulgaris","","0",4,"7",42.5,2.8,"Mpd",0.7,"11","Autumn",167.9
"Fallopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallopia baldschuanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallopia convolvulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fallopia dumetorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fatsia japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca","Festuca ovina_Festuca rubra_Festuca rupicola_Festuca valesiaca","4_5","1",3.75,"5",32.7697045475,NA,"Pd",0.60396627325,"11_8","Autumn_Late summer",133.795297633333
"Festuca ambigua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca arundinacea arundinacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca fasciculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca filiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca guestfalica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca incurva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca lachenalii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca lemanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca muralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca myuros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Festuca ovina","Festuca ovina","4","1",3,"5",34.33636364,NA,"Pd",0.446052747,"8","Late summer",203.9071429
"Festuca rubra","Festuca rubra","5","1",6,"5",46.74245455,NA,"Pd",0.901012346,"11","Autumn",178.05875
"Festuca rupicola","Festuca rupicola","4","1",3,"5",20,NA,"",0.58,"8","Late summer",NA
"Festuca valesiaca","Festuca valesiaca","4","1",3,"5",30,NA,"",0.4888,"8","Late summer",19.42
"Ficaria verna ficariiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus carica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago eriocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago gallica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago germanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago lutescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filago pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filipendula","Filipendula ulmaria_Filipendula vulgaris","3_4","1",3,"5",71.473333335,0.5,"Pd",0.787725,"8","Late summer",176.325
"Filipendula ulmaria","Filipendula ulmaria","4","1",3,"5",96.66666667,NA,"Pd",0.7446,"8","Late summer",336.4
"Filipendula vulgaris","Filipendula vulgaris","3","1",3,"5",46.28,0.5,"",0.83085,"8","Late summer",16.25
"Foeniculum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fragaria","Fragaria vesca","5","1",4,"4",10.83333333,NA,"",0.325461538,"8","Late summer",182.9666667
"Fragaria vesca","Fragaria vesca","5","1",4,"4",10.83333333,NA,"",0.325461538,"8","Late summer",182.9666667
"Fragaria x ananassa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frangula alnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus ornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus ornus ornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumana ericoides montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria agraria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria bastardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria capreolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria densiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria gaillardotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria officinalis wirtgenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria rostellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria schleicheri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria vaillantii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagea minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagea pratensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagea villosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galactites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galactites elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galactites tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galactites tomentosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galatella sedifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galega officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galega orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis bifida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis ladanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis ladanum angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis segetum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis speciosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeopsis tetrahit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga quadriradiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium","Galium album_Galium lucidum_Galium mollugo_Galium pumilum_Galium saxatile_Galium verum","4","0_1",4.66666666666667,"5_6",44.9065476183333,0.25,"Pd",0.638166049333333,"10_11_9","Autumn_Late summer",259.8398055
"Galium album","Galium album","","0",6,"5",79,NA,"",0.873,"11","Autumn",233.95
"Galium aparine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium aparine aparine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium elongatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium lucidum","Galium lucidum","4","1",5,"6",40,0.25,"",0.83,"11","Autumn",32.2
"Galium lucidum corrudifolium","Galium lucidum","4","1",5,"6",40,0.25,"",0.83,"11","Autumn",32.2
"Galium mollugo","Galium mollugo","4","1",6,"5",60,NA,"",0.682,"11","Autumn",259.75
"Galium murale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium odoratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium parisiense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium pumilum","Galium pumilum","","0",4,"5",33.125,NA,"",0.358,"9","Late summer",554.3
"Galium rotundifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium saxatile","Galium saxatile","4","1",3,"6",19,NA,"Pd",0.542622222,"9","Late summer",288
"Galium spurium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium spurium spurium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium tricornutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium triflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium uliginosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium verrucosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium verum","Galium verum","4","1",4,"6",38.31428571,NA,"Pd",0.543374074,"10","Autumn",190.838833
"Galium verum verum","Galium verum","4","1",4,"6",38.31428571,NA,"Pd",0.543374074,"10","Autumn",190.838833
"Gamochaeta americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamochaeta antillana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gastridium ventricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaudinia fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gemmabryum dichotomum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Genista","Genista scorpius","","",3,"5",73.375,NA,"Py",5.582389408,"8","Late summer",14.4332865
"Genista scorpius","Genista scorpius","","",3,"5",73.375,NA,"Py",5.582389408,"8","Late summer",14.4332865
"Geraniaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium","Geranium pratense","3","1",4,"6",35,NA,"Py",7.769457143,"10","Autumn",NA
"Geranium berteroanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium columbinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium dissectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium molle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium phaeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium pratense","Geranium pratense","3","1",4,"6",35,NA,"Py",7.769457143,"10","Autumn",NA
"Geranium purpureum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium pusillum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium pyrenaicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium robertianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium rotundifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium sanguineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geropogon hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geum","Geum rivale","3","1",4,"4",38.14285714,0.12,"Pd",1.205672727,"8","Late summer",200.5964151
"Geum rivale","Geum rivale","3","1",4,"4",38.14285714,0.12,"Pd",1.205672727,"8","Late summer",200.5964151
"Geum urbanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus illyricus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus italicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glaucium corniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glebionis coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glebionis segetum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glechoma hederacea","Glechoma hederacea","6","1",4,"3",25,NA,"Pd",0.65,"7","Summer",348.8226652
"Glechoma hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gleditsia triacanthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Globularia bisnagarica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyceria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyceria declinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyceria fluitans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyceria maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycine max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycyrrhiza glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium sylvaticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium uliginosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guizotia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gypsophila repens","Gypsophila repens","","0",4,"5",NA,NA,"Pd",0.723333333,"9","Late summer",153.5
"Gypsophila vaccaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedera helix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedypnois rhagadioloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum apenninum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum hirtum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthemum salicifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus niveus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helianthus tuberosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helichrysum arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helichrysum italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helictochloa","Helictotrichon pratense","","",2,"6",80,NA,"",1.88,"8","Late summer",190.8
"Helictochloa bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helictochloa pratensis","Helictotrichon pratense","","",2,"6",80,NA,"",1.88,"8","Late summer",190.8
"Heliotropium europaeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helleborus foetidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helleborus purpurascens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helminthotheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helminthotheca comosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helminthotheca echioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helosciadium nodiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heracleum","Heracleum sphondylium","","0",4,"5",183.3333333,NA,"Mpd",6.520725,"9","Late summer",16.2
"Heracleum mantegazzianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heracleum sibiricum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heracleum sphondylium","Heracleum sphondylium","","0",4,"5",183.3333333,NA,"Mpd",6.520725,"9","Late summer",16.2
"Heracleum sphondylium sphondylium","Heracleum sphondylium","","0",4,"5",183.3333333,NA,"Mpd",6.520725,"9","Late summer",16.2
"Herniaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria hirsuta cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herniaria lusitanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus trionum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium","Hieracium cymosum_Hieracium murorum_Hieracium villosum","3","1",3.33333333333333,"5_7",17.8333333333333,0.2,"",0.4,"9","Late summer",298.5
"Hieracium amplexicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium cymosum","Hieracium cymosum","","",4,"5",20,NA,"",NA,"9","Late summer",235.2
"Hieracium lachenalii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium laevigatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium murorum","Hieracium murorum","3","1",4,"5",13.5,NA,"",0.4,"9","Late summer",361.8
"Hieracium sabaudum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hieracium villosum","Hieracium villosum","3","1",2,"7",20,0.2,"",NA,"9","Late summer",NA
"Himantoglossum hircinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Himantoglossum robertianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis","Hippocrepis comosa","","0",5,"4",15,NA,"Py",3.79864,"9","Late summer",148.5
"Hippocrepis biflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippocrepis comosa","Hippocrepis comosa","","0",5,"4",15,NA,"Py",3.79864,"9","Late summer",148.5
"Hippophae rhamnoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hirschfeldia incana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hirschfeldia incana incana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holcus","Holcus lanatus_Holcus mollis","4_5","1",2.5,"5_6",61.82389706,2,"Nd",0.33273125,"8","Late summer",350.0833941
"Holcus hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holcus lanatus","Holcus lanatus","4","1",3,"5",54.44779412,2,"Nd",0.3552125,"8","Late summer",310.6667882
"Holcus mollis","Holcus mollis","5","1",2,"6",69.2,NA,"",0.31025,"8","Late summer",389.5
"Holcus mollis mollis","Holcus mollis","5","1",2,"6",69.2,NA,"",0.31025,"8","Late summer",389.5
"Holosteum umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honorius nutans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordelymus europaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum distichon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum marinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum murinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum murinum leporinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum murinum murinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum secalinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hordeum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
