"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Rubus arcticus","Rubus chamaemorus",0.15,"",NA,"",NA,"Rubus chamaemorus","","","","",NA,NA,NA,NA,""
"Rubus armeniacus",NA,NA,NA,NA,NA,NA,"Rubus armeniacus","","","","",NA,NA,NA,NA,""
"Rubus caesius","Rubus caesius",0.5,"",NA,"",7.9,"Rubus caesius","","","","",11.5,NA,NA,NA,""
"Rubus fruticosus","Rubus fruticosus",2.5,"",NA,"",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rubus idaeus","Rubus idaeus",1.3,"",NA,"",2.7,"Rubus idaeus","","","","",11.5,NA,NA,NA,""
"Rubus ulmifolius",NA,NA,NA,NA,NA,NA,"Rubus ulmifolius","","","","",NA,NA,NA,NA,""
"Rubus vestitus",NA,NA,NA,NA,NA,NA,"Rubus vestitus","","","","",NA,NA,NA,NA,""
"Rumex","Rumex acetosa_Rumex acetosella_Rumex conglomeratus_Rumex crispus_Rumex longifolius_Rumex obtusifolius_Rumex palustris_Rumex patientia_Rumex pulcher_Rumex sanguineus",0.928333333333333,"",1.5,"",1.0675,"Rumex acetosa_Rumex acetosella_Rumex conglomeratus_Rumex crispus_Rumex longifolius_Rumex obtusifolius_Rumex palustris_Rumex patientia_Rumex pulcher_Rumex sanguineus_Rumex stenophyllus_Rumex thyrsiflorus","","","","",NA,NA,NA,NA,""
"Rumex acetosa","Rumex acetosa",1,"",NA,"",0.74,"Rumex acetosa","","","","",NA,NA,NA,NA,""
"Rumex acetosa subsp. acetosa","Rumex acetosa",1,"",NA,"",0.74,"Rumex acetosa","","","","",NA,NA,NA,NA,""
"Rumex acetosella","Rumex acetosella",0.4,"",NA,"",0.4,"Rumex acetosella","","","","",NA,NA,NA,NA,""
"Rumex bucephalophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex confertus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex conglomeratus","Rumex conglomeratus",1,"",NA,"",1.6,"Rumex conglomeratus","","","","",NA,NA,NA,NA,""
"Rumex crispus","Rumex crispus",1.5,"",1.5,"",1.77666666666667,"Rumex crispus","","","","",NA,NA,NA,NA,""
"Rumex crispus subsp. crispus","Rumex crispus",1.5,"",1.5,"",1.77666666666667,"Rumex crispus","","","","",NA,NA,NA,NA,""
"Rumex cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex longifolius","Rumex longifolius",0.8,"",NA,"",NA,"Rumex longifolius","","","","",NA,NA,NA,NA,""
"Rumex obtusifolius","Rumex obtusifolius",0.75,"",1.5,"",1.53333333333333,"Rumex obtusifolius","","","","",NA,NA,NA,NA,""
"Rumex palustris","Rumex palustris",1,"",NA,"",0.43,"Rumex palustris","","","","",NA,NA,NA,NA,""
"Rumex patientia","Rumex patientia",1.5,"",NA,"",NA,"Rumex patientia","","","","",NA,NA,NA,NA,""
"Rumex pulcher","Rumex pulcher",0.333333333333333,"",NA,"",1.3,"Rumex pulcher","","","","",NA,NA,NA,NA,""
"Rumex roseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex sanguineus","Rumex sanguineus",1,"",NA,"",0.76,"Rumex sanguineus","","","","",NA,NA,NA,NA,""
"Rumex stenophyllus",NA,NA,NA,NA,NA,NA,"Rumex stenophyllus","","","","",NA,NA,NA,NA,""
"Rumex thyrsiflorus",NA,NA,NA,NA,NA,NA,"Rumex thyrsiflorus","","","","",NA,NA,NA,NA,""
"Rumex thyrsoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rumex x pratensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruscus aculeatus","Ruscus aculeatus",0.525,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruta chalepensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruta graveolens",NA,NA,NA,NA,NA,NA,"Ruta graveolens","","","","",11.5,NA,1.98166666666667,2,""
"Sabulina tenuifolia","Sabulina tenuifolia",0.0525,"",NA,"",0.04,"Sabulina tenuifolia","","","","",11.5,NA,NA,0.45,""
"Sabulina tenuifolia subsp. laxa","Sabulina tenuifolia",0.0525,"",NA,"",0.04,"Sabulina tenuifolia","","","","",11.5,NA,NA,0.45,""
"Sagina","Sagina apetala_Sagina procumbens",0.108333333333333,"",NA,"",0.015,"Sagina apetala_Sagina procumbens","","","","",11.5,NA,0.01,0.361666666666667,""
"Sagina apetala","Sagina apetala",0.106666666666667,"",NA,"",0.01,"Sagina apetala","","","","",NA,NA,0.001,0.313333333333333,""
"Sagina procumbens","Sagina procumbens",0.11,"",NA,"",0.02,"Sagina procumbens","","","","",11.5,NA,0.019,0.41,""
"Salix","Salix alba_Salix caprea_Salix cinerea_Salix fragilis_x_Salix purpurea_Salix triandra",10.0666666666667,"",NA,"",0.09,"Salix alba_Salix caprea_Salix cinerea_Salix fragilis_x_Salix purpurea_Salix triandra","","","","",NA,NA,0.103222222222222,3.43022222222222,""
"Salix alba","Salix alba",21.6666666666667,"",NA,"",NA,"Salix alba","","","","",NA,NA,NA,0.9,""
"Salix caprea","Salix caprea",6.5,"",NA,"",0.09,"Salix caprea","","","","",NA,NA,0.102666666666667,13.2977777777778,""
"Salix cinerea","Salix cinerea",11.4,"",NA,"",0.09,"Salix cinerea","","","","",NA,NA,0.09,1.44333333333333,""
"Salix fragilis","Salix fragilis_x",12.5,"",NA,"",NA,"Salix fragilis_x","","","","",NA,NA,0.117,0.9,""
"Salix purpurea","Salix purpurea",3.16666666666667,"",NA,"",NA,"Salix purpurea","","","","",NA,NA,NA,NA,""
"Salix triandra","Salix triandra",5.16666666666667,"",NA,"",NA,"Salix triandra","","","","",NA,NA,NA,0.61,""
"Salsola kali","Kali turgidum",0.6,"",0.3,"",NA,"Kali turgidum","","","","",NA,NA,NA,NA,""
"Salvia","Salvia pratensis_Salvia verbenaca",0.6,"",0.75,"",2.705,"Salvia nemorosa_Salvia officinalis_Salvia pratensis_Salvia verticillata","","","","",11.5,NA,NA,NA,""
"Salvia nemorosa",NA,NA,NA,NA,NA,NA,"Salvia nemorosa","","","","",NA,NA,NA,NA,""
"Salvia officinalis",NA,NA,NA,NA,NA,NA,"Salvia officinalis","","","","",NA,NA,NA,NA,""
"Salvia pratensis","Salvia pratensis",0.65,"",NA,"",2.1,"Salvia pratensis","","","","",11.5,NA,NA,NA,""
"Salvia rosmarinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia sclarea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia verbenaca","Salvia verbenaca",0.55,"",0.75,"",3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvia verticillata",NA,NA,NA,NA,NA,NA,"Salvia verticillata","","","","",11.5,NA,NA,NA,""
"Salvia viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sambucus","Sambucus ebulus_Sambucus nigra",5.45,"",NA,"",3.76,"Sambucus ebulus_Sambucus nigra","","","","",11.5,NA,NA,NA,""
"Sambucus ebulus","Sambucus ebulus",0.9,"",NA,"",4,"Sambucus ebulus","","","","",11.5,NA,NA,NA,""
"Sambucus nigra","Sambucus nigra",10,"",NA,"",3.52,"Sambucus nigra","","","","",11.5,NA,NA,NA,""
"Sanguisorba","Sanguisorba officinalis",1,"",NA,"",NA,"Sanguisorba officinalis","","","","",11.5,NA,NA,NA,""
"Sanguisorba officinalis","Sanguisorba officinalis",1,"",NA,"",NA,"Sanguisorba officinalis","","","","",11.5,NA,NA,NA,""
"Santolina chamaecyparissus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saponaria ocymoides subsp. ocymoides",NA,NA,NA,NA,NA,NA,"Saponaria ocymoides","","","","",NA,NA,NA,NA,""
"Saponaria officinalis","Saponaria officinalis",0.6,"",NA,"",1.38,"Saponaria officinalis","","","","",11.5,NA,1.66966666666667,1.97333333333333,""
"Satureja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satureja montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saxifraga tridactylites","Saxifraga tridactylites",0.072,"",NA,"",0.01,"Saxifraga tridactylites","","","","",NA,NA,0.00833333333333333,0.366666666666667,""
"Scabiosa","Scabiosa columbaria",0.516666666666667,"",0.3,"",1.3,"Scabiosa columbaria_Scabiosa lucida_Sixalix atropurpurea","","","","",3.5,NA,NA,NA,""
"Scabiosa atropurpurea",NA,NA,NA,NA,NA,NA,"Sixalix atropurpurea","","","","",NA,NA,NA,NA,""
"Scabiosa columbaria","Scabiosa columbaria",0.516666666666667,"",0.3,"",1.3,"Scabiosa columbaria","","","","",3.5,NA,NA,NA,""
"Scabiosa lucida",NA,NA,NA,NA,NA,NA,"Scabiosa lucida","","","","",NA,NA,NA,NA,""
"Scandix australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scandix pecten-veneris","Scandix pecten-veneris",0.325,"",NA,"",NA,"Scandix pecten-veneris","","","","",3.5,NA,NA,NA,""
"Schedonorus arundinaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schedonorus arundinaceus subsp. arundinaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schedonorus giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schedonorus pratensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schedonorus pratensis subsp. pratensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scirpoides holoschoenus","Scirpoides holoschoenus",1,"",NA,"",NA,"Scirpoides holoschoenus","","","","",NA,NA,NA,NA,""
"Scirpus sylvaticus","Scirpus sylvaticus",0.75,"",NA,"",NA,"Scirpus sylvaticus","","","","",NA,NA,NA,NA,""
"Scleranthus annuus","Scleranthus annuus",0.1375,"",NA,"",0.5,"Scleranthus annuus","","","","",11.5,NA,NA,NA,""
"Scleranthus annuus subsp. annuus","Scleranthus annuus",0.1375,"",NA,"",0.5,"Scleranthus annuus","","","","",11.5,NA,NA,NA,""
"Scleranthus perennis","Scleranthus perennis",0.2,"",NA,"",NA,"Scleranthus perennis","","","","",11.5,NA,NA,NA,""
"Sclerochloa dura",NA,NA,NA,NA,NA,NA,"Sclerochloa dura","","","","",NA,NA,NA,NA,""
"Scolymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scolymus hispanicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scolymus maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpiurus muricatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpiurus subvillosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpiurus vermiculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorzonera hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorzoneroides autumnalis","Scorzoneroides autumnalis",0.416666666666667,"",NA,"",0.7,"Scorzoneroides autumnalis","","","","",28.25,NA,NA,NA,""
"Scrophularia auriculata","Scrophularia auriculata",0.525,"",NA,"",0.11,"Scrophularia auriculata","","","","",NA,NA,0.096,0.62,""
"Scrophularia nodosa","Scrophularia nodosa",0.6,"",NA,"",NA,"Scrophularia nodosa","","","","",16.5,NA,0.093,0.79,""
"Scutellaria galericulata","Scutellaria galericulata",0.325,"",NA,"",0.7,"Scutellaria galericulata","","","","",7.5,NA,NA,NA,""
"Secale cereale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sedum","Sedum acre_Sedum album_Sedum anglicum",0.0971428571428571,"",NA,"",0.03,"Sedum acre_Sedum album_Sedum anglicum_Sedum rubens","","","","",31.5833333333333,NA,0.0366666666666667,0.7375,""
"Sedum acre","Sedum acre",0.04,"",NA,"",0.03,"Sedum acre","","","","",39.75,NA,0.0386666666666667,0.72,""
"Sedum album","Sedum album",0.11,"",NA,"",NA,"Sedum album","","","","",21.5,NA,0.02,0.853333333333333,""
"Sedum anglicum","Sedum anglicum",0.141428571428571,"",NA,"",NA,"Sedum anglicum","","","","",33.5,NA,0.066,0.876666666666667,""
"Sedum rubens",NA,NA,NA,NA,NA,NA,"Sedum rubens","","","","",NA,NA,0.022,0.5,""
"Senecio","Senecio sylvaticus_Senecio vernalis_Senecio viscosus_Senecio vulgaris",0.37375,"",0.05,"",0.392222222222222,"Senecio inaequidens_Senecio sylvaticus_Senecio vernalis_Senecio viscosus_Senecio vulgaris","","","","",22.0625,NA,NA,NA,""
"Senecio gallicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senecio inaequidens",NA,NA,NA,NA,NA,NA,"Senecio inaequidens","","","","",NA,NA,NA,NA,""
"Senecio leucanthemifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senecio lividus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senecio sylvaticus","Senecio sylvaticus",0.5,"",NA,"",0.35,"Senecio sylvaticus","","","","",28.25,NA,NA,NA,""
"Senecio vernalis","Senecio vernalis",0.38,"",NA,"",NA,"Senecio vernalis","","","","",28.25,NA,NA,NA,""
"Senecio viscosus","Senecio viscosus",0.35,"",NA,"",0.6,"Senecio viscosus","","","","",28.25,NA,NA,NA,""
"Senecio vulgaris","Senecio vulgaris",0.265,"",0.05,"",0.226666666666667,"Senecio vulgaris","","","","",3.5,NA,NA,NA,""
"Senecio vulgaris subsp. vulgaris","Senecio vulgaris",0.265,"",0.05,"",0.226666666666667,"Senecio vulgaris","","","","",3.5,NA,NA,NA,""
"Serapias lingua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serapias vomeracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Setaria",NA,NA,NA,NA,NA,NA,"Setaria faberi_Setaria italica_Setaria verticillata_Setaria viridis","","","","",NA,NA,NA,NA,""
"Setaria faberi",NA,NA,NA,NA,NA,NA,"Setaria faberi","","","","",NA,NA,NA,NA,""
"Setaria italica",NA,NA,NA,NA,NA,NA,"Setaria italica","","","","",NA,NA,NA,NA,""
"Setaria italica subsp. italica",NA,NA,NA,NA,NA,NA,"Setaria italica_Setaria viridis","","","","",NA,NA,NA,NA,""
"Setaria italica subsp. viridis",NA,NA,NA,NA,NA,NA,"Setaria viridis","","","","",NA,NA,NA,NA,""
"Setaria parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Setaria pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Setaria verticillata",NA,NA,NA,NA,NA,NA,"Setaria verticillata","","","","",NA,NA,NA,NA,""
"Sherardia arvensis","Sherardia arvensis",0.166666666666667,"",NA,"",1.8,"Sherardia arvensis","","","","",21.5,NA,NA,NA,""
"Sicyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sicyos angulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sideritis romana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silaum silaus","Silaum silaus",0.65,"",NA,"",NA,"Silaum silaus","","","","",11.5,NA,NA,NA,""
"Silene","Silene conica_Silene dioica_Silene gallica_Silene italica_Silene latifolia_Silene noctiflora_Silene nutans_Silene vulgaris",0.465520833333333,"",0.7,"",0.705238095238095,"Silene conica_Silene cretica_Silene dichotoma_Silene dioica_Silene gallica_Silene italica_Silene latifolia_Silene noctiflora_Silene nutans_Silene vulgaris","","","","",17.8333333333333,NA,0.704208333333333,1.2,""
"Silene bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene conica","Silene conica",0.136666666666667,"",NA,"",0.36,"Silene conica","","","","",NA,NA,NA,0.796666666666667,""
"Silene conoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene cretica",NA,NA,NA,NA,NA,NA,"Silene cretica","","","","",NA,NA,0.902666666666667,1.6,""
"Silene dichotoma",NA,NA,NA,NA,NA,NA,"Silene dichotoma","","","","",NA,NA,0.839,1.38,""
"Silene dioica","Silene dioica",0.6,"",0.3,"",0.906666666666667,"Silene dioica","","","","",21.5,NA,0.579,1.32333333333333,""
"Silene gallica","Silene gallica",0.3,"",NA,"",0.5,"Silene gallica","","","","",18.5,NA,0.311,0.946666666666667,""
"Silene italica","Silene italica",0.7,"",NA,"",NA,"Silene italica","","","","",NA,NA,NA,0.9,""
"Silene latifolia","Silene latifolia",0.65,"",0.3,"",0.7,"Silene latifolia","","","","",12.5,NA,0.816333333333333,1.28333333333333,""
"Silene muscipula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene nicaeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene noctiflora","Silene noctiflora",0.3,"",NA,"",0.92,"Silene noctiflora","","","","",11.5,NA,1.04166666666667,1.26666666666667,""
"Silene nocturna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene nutans","Silene nutans",0.5875,"",NA,"",0.4,"Silene nutans","","","","",21.5,NA,0.296,1.06333333333333,""
"Silene nutans subsp. nutans","Silene nutans",0.5875,"",NA,"",0.4,"Silene nutans","","","","",21.5,NA,0.296,1.06333333333333,""
"Silene stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silene vulgaris","Silene vulgaris",0.45,"",1.5,"",1.15,"Silene vulgaris","","","","",21.5,NA,0.848,1.44,""
"Silene vulgaris subsp. vulgaris","Silene vulgaris",0.45,"",1.5,"",1.15,"Silene vulgaris","","","","",21.5,NA,0.848,1.44,""
"Silphium perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silybum",NA,NA,NA,NA,NA,NA,"Silybum marianum","","","","",NA,NA,NA,NA,""
"Silybum marianum",NA,NA,NA,NA,NA,NA,"Silybum marianum","","","","",NA,NA,NA,NA,""
"Sinapis","Sinapis alba_Sinapis arvensis",0.7,"",0.3,"",4.125,"Sinapis alba_Sinapis arvensis","","","","",34,NA,3.27533333333333,2.01333333333333,""
"Sinapis alba","Sinapis alba",0.55,"",NA,"",6.25,"Sinapis alba","","","","",28.25,NA,4.77133333333333,2.34333333333333,""
"Sinapis arvensis","Sinapis arvensis",0.85,"",0.3,"",2,"Sinapis arvensis","","","","",39.75,NA,1.77933333333333,1.68333333333333,""
"Sison amomum","Sison amomum",0.75,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sison segetum","Petroselinum segetum",0.65,"",NA,"",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sisymbrella aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sisymbrium","Sisymbrium altissimum_Sisymbrium irio_Sisymbrium loeselii_Sisymbrium officinale_Sisymbrium orientale",0.545,"",NA,"",0.255833333333333,"Sisymbrium altissimum_Sisymbrium austriacum_Sisymbrium irio_Sisymbrium loeselii_Sisymbrium officinale_Sisymbrium orientale","","","","",29.5625,NA,0.184111111111111,1.10833333333333,""
"Sisymbrium altissimum","Sisymbrium altissimum",0.6,"",NA,"",0.2,"Sisymbrium altissimum","","","","",53,NA,0.210333333333333,1.03333333333333,""
"Sisymbrium austriacum",NA,NA,NA,NA,NA,NA,"Sisymbrium austriacum","","","","",18.5,NA,0.262,1.47333333333333,""
"Sisymbrium irio","Sisymbrium irio",0.35,"",NA,"",NA,"Sisymbrium irio","","","","",NA,NA,0.114666666666667,0.916666666666667,""
"Sisymbrium loeselii","Sisymbrium loeselii",0.6,"",NA,"",NA,"Sisymbrium loeselii","","","","",NA,NA,0.0863333333333333,0.796666666666667,""
"Sisymbrium officinale","Sisymbrium officinale",0.6,"",NA,"",0.3075,"Sisymbrium officinale","","","","",18.5,NA,0.247333333333333,1.43,""
"Sisymbrium orientale","Sisymbrium orientale",0.575,"",NA,"",0.26,"Sisymbrium orientale","","","","",28.25,NA,0.184,1,""
"Sisymbrium runcinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smilax aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smyrnium olusatrum","Smyrnium olusatrum",1,"",0.75,"",20.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solanum","Solanum dulcamara_Solanum nigrum",1.85,"",1.5,"",1.5225,"Solanum dulcamara_Solanum lycopersicum_Solanum nigrum_Solanum physalifolium_Solanum tuberosum_Solanum villosum","","","","",11.5,NA,1.58375,2.32666666666667,""
"Solanum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solanum chenopodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solanum dulcamara","Solanum dulcamara",3.1,"",NA,"",2.075,"Solanum dulcamara","","","","",11.5,NA,1.595,2.21,""
"Solanum lycopersicum",NA,NA,NA,NA,NA,NA,"Solanum lycopersicum","","","","",NA,NA,3,3.45,""
"Solanum nigrum","Solanum nigrum",0.6,"",1.5,"",0.97,"Solanum nigrum","","","","",11.5,NA,0.741333333333333,1.97333333333333,""
"Solanum nitidibaccatum",NA,NA,NA,NA,NA,NA,"Solanum physalifolium","","","","",NA,NA,NA,NA,""
"Solanum tuberosum",NA,NA,NA,NA,NA,NA,"Solanum tuberosum","","","","",NA,NA,NA,1.9,""
"Solanum villosum",NA,NA,NA,NA,NA,NA,"Solanum villosum","","","","",NA,NA,0.998666666666667,2.1,""
"Solidago","Solidago canadensis_Solidago gigantea_Solidago virgaurea",0.941666666666667,"",NA,"",0.29,"Solidago canadensis_Solidago gigantea_Solidago virgaurea","","","","",11.8333333333333,NA,NA,NA,""
"Solidago canadensis","Solidago canadensis",1.4,"",NA,"",0.06,"Solidago canadensis","","","","",11.5,NA,NA,NA,""
"Solidago gigantea","Solidago gigantea",1.2,"",NA,"",NA,"Solidago gigantea","","","","",11.5,NA,NA,NA,""
"Solidago virgaurea","Solidago virgaurea",0.225,"",NA,"",0.52,"Solidago virgaurea","","","","",12.5,NA,NA,NA,""
"Sonchus","Sonchus arvensis_Sonchus asper_Sonchus oleraceus",0.916666666666667,"",0.825,"",0.382222222222222,"Sonchus arvensis_Sonchus asper_Sonchus oleraceus","","","","",18.5,NA,NA,NA,""
"Sonchus arvensis","Sonchus arvensis",1.05,"",0.9,"",0.556666666666667,"Sonchus arvensis","","","","",18.5,NA,NA,NA,""
"Sonchus arvensis subsp. uliginosus","Sonchus arvensis",1.05,"",0.9,"",0.556666666666667,"Sonchus arvensis","","","","",18.5,NA,NA,NA,""
"Sonchus asper","Sonchus asper",0.85,"",0.75,"",0.32,"Sonchus asper","","","","",18.5,NA,NA,NA,""
"Sonchus asper subsp. asper","Sonchus asper",0.85,"",0.75,"",0.32,"Sonchus asper","","","","",18.5,NA,NA,NA,""
"Sonchus oleraceus","Sonchus oleraceus",0.85,"",NA,"",0.27,"Sonchus oleraceus","","","","",18.5,NA,NA,NA,""
"Sonchus tenerrimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sorbus","Sorbus aucuparia",17.5,"",NA,"",41.1166666666667,"Sorbus aucuparia","","","","",11.5,NA,4.28133333333333,3.98333333333333,""
"Sorbus aucuparia","Sorbus aucuparia",17.5,"",NA,"",41.1166666666667,"Sorbus aucuparia","","","","",11.5,NA,4.28133333333333,3.98333333333333,""
"Sorghum",NA,NA,NA,NA,NA,NA,"Sorghum halepense","","","","",NA,NA,NA,NA,""
"Sorghum bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sorghum halepense",NA,NA,NA,NA,NA,NA,"Sorghum halepense","","","","",NA,NA,NA,NA,""
"Sparganium erectum","Sparganium erectum",1.33333333333333,"",0.3,"",18.71,"Sparganium erectum","","","","",NA,NA,NA,NA,""
"Spergula","Spergula arvensis",0.1875,"",0.05,"",0.906666666666667,"Spergula arvensis_Spergula morisonii_Spergula pentandra","","","","",11.5,NA,0.271666666666667,1.69222222222222,""
"Spergula arvensis","Spergula arvensis",0.1875,"",0.05,"",0.906666666666667,"Spergula arvensis","","","","",11.5,NA,0.382,1.14,""
"Spergula morisonii",NA,NA,NA,NA,NA,NA,"Spergula morisonii","","","","",11.5,NA,0.161333333333333,1.43666666666667,""
"Spergula pentandra",NA,NA,NA,NA,NA,NA,"Spergula pentandra","","","","",NA,NA,NA,2.5,""
"Spergularia","Spergularia media_Spergularia rubra",0.127083333333333,"",NA,"",0.01,"Spergularia media_Spergularia rubra_Spergularia segetalis","","","","",11.5,NA,0.029,0.729333333333333,""
"Spergularia media","Spergularia media",0.1375,"",NA,"",NA,"Spergularia media","","","","",NA,NA,NA,0.995333333333333,""
"Spergularia rubra","Spergularia rubra",0.116666666666667,"",NA,"",0.01,"Spergularia rubra","","","","",11.5,NA,0.029,0.463333333333333,""
"Spergularia segetalis",NA,NA,NA,NA,NA,NA,"Spergularia segetalis","","","","",NA,NA,NA,NA,""
"Sporobolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sporobolus indicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stachys","Stachys arvensis_Stachys germanica_Stachys palustris_Stachys sylvatica",0.485,"",NA,"",1.38083333333333,"Stachys annua_Stachys arvensis_Stachys germanica_Stachys palustris_Stachys recta_Stachys sylvatica","","","","",9.5,NA,NA,NA,""
"Stachys annua",NA,NA,NA,NA,NA,NA,"Stachys annua","","","","",3.5,NA,NA,NA,""
"Stachys arvensis","Stachys arvensis",0.15,"",NA,"",NA,"Stachys arvensis","","","","",NA,NA,NA,NA,""
