"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Sesbania herbacea","Sesbania herbacea","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",NA,NA,NA,"","","",0.009803,NA
"Sesbania microphylla","Sesbania microphylla","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","C3",4,NA,1,"","","",0.006775,NA
"Sesbania pachycarpa","Sesbania pachycarpa","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",2.5,NA,0.609607413,"","","",0.0226925,NA
"Sesbania rostrata","Sesbania rostrata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",2.5,2,1,"Biotic","Insect","Insect",0.01007,NA
"Sesbania sericea","Sesbania sericea","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","",NA,2,NA,"","","",NA,NA
"Sesbania sesban","Sesbania sesban","Autochorous","Autochorous","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"Perennial","C3",7,5,1,"Biotic","Insect","Bee",0.01147429175,NA
"Sesbania sesban punctata","Sesbania sesban","Autochorous","Autochorous","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"Perennial","C3",7,5,1,"Biotic","Insect","Bee",0.01147429175,NA
"Sesbania sudanica","Sesbania sudanica","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"","",NA,NA,NA,"","","",0.0106,NA
"Sesuvium portulacastrum","Sesuvium portulacastrum","Hydrochorous","Hydrochorous","",1,0.4,0.6,0.3,"","Herb","","",3.25,NA,NA,"Perennial","C3",0.8,0.2,0,"","","",0.00053025,NA
"Setaria","Setaria barbata_Setaria geminata_Setaria longiseta_Setaria megaphylla_Setaria palmifolia_Setaria pumila_Setaria sphacelata_Setaria verticillata_Setaria viridis","Unspecialized_Zoochorous","Unspecialized","",0.24,0.12,NA,NA,"","Herb","Graminoid","Panicle_Raceme",NA,14.4575,1.875,"Annual_Perennial","C4",1.81111111111111,1.12895833333333,0.33,"Abiotic","Wind","Wind",0.00111141659722222,232.005
"Setaria barbata","Setaria barbata","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",1,1,0.6,"","","",0.00114,NA
"Setaria geminata","Setaria geminata","","","",0.24,0.12,NA,NA,"","Herb","","Raceme",NA,NA,NA,"Perennial","C4",1.8,NA,0.1,"","","",NA,NA
"Setaria longiseta","Setaria longiseta","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","",0.9,1.5,0.5,"","","",NA,NA
"Setaria megaphylla","Setaria megaphylla","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",3,2.25,0.5,"Abiotic","Wind","",0.0012,NA
"Setaria palmifolia","Setaria palmifolia","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,6,"Perennial","C4",1.5,1.57,0.9,"Abiotic","Wind","Wind",NA,NA
"Setaria pumila","Setaria pumila","","","",NA,NA,NA,NA,"","Herb","","Panicle",NA,18.9075,0.4,"Annual","C4",1.3,0.714,0.05,"Abiotic","Wind","Wind",0.00175155,225.81
"Setaria sphacelata","Setaria sphacelata","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",3,1.16666666666667,0.2,"","","",0.000760370333333333,NA
"Setaria verticillata","Setaria verticillata","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.7,"Annual","C4",1.3,0.325,0.1,"Abiotic","Wind","Wind",0.000874423,NA
"Setaria viridis","Setaria viridis","","","",NA,NA,NA,NA,"","Herb","","Panicle",NA,10.0075,0.4,"Annual","C4",2.5,0.506,0.02,"Abiotic","Wind","Wind",0.00094215625,238.2
"Sicyos angulatus","Sicyos angulatus","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",6,NA,1,"","","",0.093,NA
"Sida","Sida acuta_Sida alba_Sida cordata_Sida cordifolia_Sida glabra_Sida glutinosa_Sida hyssopifolia_Sida linifolia_Sida ovata_Sida rhombifolia_Sida spinosa_Sida ulmifolia_Sida urens","Unspecialized_Zoochorous","Epizoochorous","Yellow",0.8,0.6,1.5,0.28,"","Herb","Forb_Subshrub","",3.1,NA,0.966666666666665,"Perennial","C3",3.8650877835,0.988839529178788,0.314950926625,"Biotic","Insect","",0.00262478048148148,NA
"Sida acuta","Sida acuta","","","Yellow",0.8,0.6,1.5,0.28,"","","","",3.5,NA,0.7,"Perennial","C3",2,1.16666666666667,0.25,"","","",0.002432,NA
"Sida alba","Sida alba","Zoochorous","Epizoochorous","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"","C3",0.75,NA,0.3,"","","",0.002063333,NA
"Sida alnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sida cordata","Sida cordata","","","",NA,NA,NA,NA,"","Herb","Forb","",3,NA,NA,"Perennial","C3",NA,1,NA,"","","",NA,NA
"Sida cordifolia","Sida cordifolia","Zoochorous","","",NA,NA,NA,NA,"","","Subshrub","",3.25,NA,NA,"Perennial","C3",1.524018532,0.95,0.05,"","","",0.00259066666666667,NA
"Sida glabra","Sida glabra","Unspecialized","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Sida glutinosa","Sida glutinosa","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Sida hyssopifolia","Sida hyssopifolia","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",25,NA,1,"","","",0.002,NA
"Sida linifolia","Sida linifolia","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",3.657644477,NA,0.609607413,"","","",0.00238,NA
"Sida ovata","Sida ovata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",0.5,0.5548037065,0.2,"","","",0.005831818,NA
"Sida rhombifolia","Sida rhombifolia","Zoochorous","","",0.8,0.6,NA,NA,"","","","",2.65,NA,1.23333333333333,"Perennial","C3",2,1.27272727272727,0.11,"Biotic","Insect","",0.00242777766666667,NA
"Sida spinosa","Sida spinosa","Zoochorous","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"","C3",1,NA,0,"","","",0.002592429,NA
"Sida ulmifolia","Sida ulmifolia","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",1.219214826,NA,NA,"","","",NA,NA
"Sida urens","Sida urens","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1,NA,NA,"","","",0.001305,NA
"Sieruela coeruleorosea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sieruela hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sieruela monophylla","Cleome monophylla","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",1,0.5,NA,"","","",0.00179,NA
"Sieruela rutidosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sigesbeckia orientalis","Sigesbeckia orientalis","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,83.6525,NA,"Annual","C3",1.5,0.76810277975,0.15,"","","",0.0012066665,305.8
"Siphonochilus aethiopicus","Siphonochilus aethiopicus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.44,0.302401853,0.15,"","","",NA,NA
"Sisyrinchium micranthum","Sisyrinchium micranthum","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.5,"Perennial","C3",0.6,0.5,0.1,"","","",0.00057,NA
"Smilax","Smilax anceps","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",NA,5,0.8,"","","",0.082,NA
"Smilax anceps","Smilax anceps","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",NA,5,0.8,"","","",0.082,NA
"Solanum","Solanum stramoniifolium","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",NA,2,NA,"Biotic","Insect","Insect",NA,NA
"Solanum americanum","Solanum americanum","Zoochorous","","",0.9,0.3,NA,NA,"","Herb","","",NA,NA,3.5,"","C3",2,1,0.45,"Biotic","Insect","Insect",0.000858666666666667,NA
"Solanum anguivi","Solanum anguivi","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",2,2.5,1,"Biotic","Insect","Bee",0.00432166666666667,NA
"Solanum cerasiferum","Solanum cerasiferum","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Solanum donianum","Solanum donianum","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.00238,NA
"Solanum erianthum","Solanum erianthum","Zoochorous","","",NA,NA,NA,NA,"","Tree","","",NA,NA,NA,"Perennial","C3",8,4.44,NA,"","","",0.000630833333333333,NA
"Solanum lycopersicum","Solanum lycopersicum","Zoochorous","","Yellow",15,10,NA,NA,"Red","Herb","Forb","Cyme",6,NA,NA,"","C3",3,1.5125,0.3,"Biotic","Insect","Insect",0.0026514285,NA
"Solanum mauritianum","Solanum mauritianum","Zoochorous","Endozoochorous","",NA,NA,2,NA,"","","","",NA,NA,7,"Perennial","C3",10,5.5,1,"Biotic","Insect","",0.0010225,NA
"Solanum melongena","Solanum melongena","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,8,"Perennial","C3",0.7,1.06666666666667,0.3,"Biotic","Insect","Insect",0.003468333,137
"Solanum nigrum","Solanum nigrum","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",6.25,12.725,3.5,"Annual","C3",1.5,0.53125,0.05,"Biotic","Insect","Insect",0.0007880626,252.25
"Solanum seaforthianum","Solanum seaforthianum","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",5,NA,1,"","","",0.001975,NA
"Solanum subinerme","Solanum subinerme","Zoochorous","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"","C3",NA,NA,NA,"","","",NA,NA
"Solanum torvum","Solanum torvum","Zoochorous","","",NA,NA,NA,NA,"","Shrub","","",9,NA,6.5,"Perennial","C3",4,2.349345688,1,"","","",0.001075,NA
"Solanum violaceum","Solanum violaceum","","","",NA,NA,NA,NA,"","Shrub","Herb","",NA,NA,NA,"Perennial","C3",2,1,NA,"","","",0.002585,NA
"Sonchus asper","Sonchus asper","Anemochorous","Anemochorous","Yellow",NA,NA,2.5,2,"","Herb","","",NA,54.17333,4.5,"Annual","C3",2,0.458333333333333,0.07,"Biotic","Insect","",0.000278625,249.74
"Sonchus oleraceus","Sonchus oleraceus","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","","",NA,106.115,7,"Annual","C3",3.048037064,0.975,0.1,"Biotic","Insect","",0.000328238,405.27
"Sopubia parviflora","Sopubia parviflora","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.609607413,NA,0.304803706,"","","",NA,NA
"Sorghum","Sorghum arundinaceum_Sorghum bicolor_Sorghum halepense","Unspecialized","","",0.35,NA,NA,NA,"","Herb","Graminoid_Herb","Panicle",NA,NA,3.25,"Annual_Perennial","C4",4.66666666666667,2.20833333333333,0.466666666666667,"Abiotic","Wind","Wind",0.0066708518888889,228.1
"Sorghum arundinaceum","Sorghum arundinaceum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","C4",5,NA,1,"","","",0.0043515,NA
"Sorghum bicolor","Sorghum bicolor","Unspecialized","","",NA,NA,NA,NA,"","Herb","Graminoid","Panicle",NA,NA,5,"Annual","C4",5,2.86666666666667,0.1,"Abiotic","Wind","Wind",0.0120415556666667,228.1
"Sorghum halepense","Sorghum halepense","Unspecialized","","",0.35,NA,NA,NA,"","Herb","","Panicle",NA,NA,1.5,"Perennial","C4",4,1.55,0.3,"Abiotic","Wind","Wind",0.0036195,NA
"Spathodea campanulata","Spathodea campanulata","Anemochorous","Anemochorous","",NA,NA,5,4.5,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",25,23,6,"","","",0.005204,NA
"Spergula arvensis","Spergula arvensis","","","White",0.6,0.5,NA,NA,"","Herb","","",2.75,0.115,0.1,"Annual","C3",1.2,0.215,0.05,"Biotic","Insect","",0.0004079285,188.82
"Spermacoce","Spermacoce alata_Spermacoce chaetocephala_Spermacoce confusa_Spermacoce filifolia_Spermacoce intricans_Spermacoce ocymoides_Spermacoce pusilla_Spermacoce radiata_Spermacoce ruelliae_Spermacoce stachydea_Spermacoce tenuior_Spermacoce verticillata","Unspecialized","","",NA,NA,NA,NA,"","Herb","Forb_Herb_Subshrub","",NA,NA,NA,"Annual_Perennial","C3",0.588700926625,0.391557614444444,0.144650501375,"","","",0.00253714285714286,NA
"Spermacoce alata","Spermacoce alata","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Spermacoce chaetocephala","Spermacoce chaetocephala","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,0.304803706,0.1,"","","",0.00102,NA
"Spermacoce confusa","Spermacoce confusa","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Spermacoce filifolia","Spermacoce filifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.9,NA,0.15,"","","",0.00022,NA
"Spermacoce intricans","Spermacoce intricans","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,0.304803706,NA,"","","",NA,NA
"Spermacoce ocymoides","Spermacoce ocymoides","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.5,0.4,0.152400305,"","","",NA,NA
"Spermacoce pusilla","Spermacoce pusilla","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,0.45,0.05,"","","",NA,NA
"Spermacoce radiata","Spermacoce radiata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.4,0.304803706,0.09,"","","",0.00049,NA
"Spermacoce ruelliae","Spermacoce ruelliae","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,0.304803706,0.16,"","","",0.00627,NA
"Spermacoce stachydea","Spermacoce stachydea","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,0.304803706,NA,"","","",0.00876,NA
"Spermacoce tenuior","Spermacoce tenuior","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",0.5,0.35,0.15,"","","",0.00046,NA
"Spermacoce verticillata","Spermacoce verticillata","","","",NA,NA,NA,NA,"","","Subshrub","",NA,NA,NA,"Perennial","C3",0.609607413,0.8,0.304803706,"","","",0.00054,NA
"Sphaeranthus flexuosus","Sphaeranthus flexuosus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,NA,0.12,"","","",NA,NA
"Sphaeranthus senegalensis","Sphaeranthus senegalensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.914411119,NA,0.304803706,"","","",3e-05,NA
"Sphaeropteris cooperi","Sphaeropteris cooperi","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",12,NA,0.5,"","","",NA,NA
"Sphagneticola trilobata","Sphagneticola trilobata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.3,0.4,0.1,"","","",NA,NA
"Sphenocentrum jollyanum","Sphenocentrum jollyanum","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","",1.219214826,1.5,NA,"Biotic","Insect","",NA,NA
"Sphenoclea zeylanica","Sphenoclea zeylanica","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",1.5,1,0,"","","",1e-05,NA
"Spigelia anthelmia","Spigelia anthelmia","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","",0.609607413,0.8,NA,"","","",0.00096,NA
"Spilanthes","Spilanthes costata_Spilanthes urens","","","",NA,NA,NA,NA,"","Herb","Forb_Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Spilanthes costata","Spilanthes costata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Spilanthes urens","Spilanthes urens","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Spirodela polyrhiza","Spirodela polyrhiza","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"","Herb","Forb","",0.65,0.1945,0.5,"Perennial","C3",0.01,0.008,NA,"Biotic","Insect","Insect",NA,298.1
"Spondias mombin","Spondias mombin","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",10.2,NA,5.4,"Perennial","C3",27,14.5,NA,"Biotic","Insect","Bee",0.830182222333333,NA
"Sporobolus","Sporobolus africanus_Sporobolus cordofanus_Sporobolus festivus_Sporobolus indicus_Sporobolus microprotus_Sporobolus paniculatus_Sporobolus pyramidalis_Sporobolus robustus","Unspecialized","Anthropochorous_Unspecialized","",0.2,0.14,NA,NA,"","Herb","Graminoid_Herb","Panicle",NA,NA,0.1,"Annual_Perennial","C4",0.984285714285714,0.883333333333333,0.316666666666667,"Abiotic","Wind","Wind",0.0001295,NA
"Sporobolus africanus","Sporobolus africanus","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,0.1,"Perennial","C4",1.5,NA,0.1,"Abiotic","Wind","",0.00019,NA
"Sporobolus cordofanus","Sporobolus cordofanus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,NA,0.3,"","","",NA,NA
"Sporobolus festivus","Sporobolus festivus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",0.6,NA,0.1,"","","",4e-05,NA
"Sporobolus indicus","Sporobolus indicus","","","",0.2,0.14,NA,NA,"","Herb","","Panicle",NA,NA,NA,"Perennial","C4",1,0.8,0.3,"Abiotic","Wind","Wind",0.0001375,NA
"Sporobolus microprotus","Sporobolus microprotus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,0.3,NA,"","","",0.00012,NA
"Sporobolus paniculatus","Sporobolus paniculatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",0.69,NA,NA,"","","",NA,NA
"Sporobolus pyramidalis","Sporobolus pyramidalis","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",1.6,1.55,0.5,"","","",0.00016,NA
"Sporobolus robustus","Sporobolus robustus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.9,NA,0.6,"","","",NA,NA
"Stachytarpheta cayennensis","Stachytarpheta cayennensis","","","Green",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",2.5,1,0.5,"","","",NA,NA
"Stachytarpheta indica","Stachytarpheta indica","","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"","C3",1.219214826,NA,0.609607413,"","","",0.0017,NA
"Stachytarpheta jamaicensis","Stachytarpheta jamaicensis","Zoochorous","Epizoochorous","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",1,1,NA,"","","",0.00236,NA
"Stachytarpheta urticifolia","Stachytarpheta urticifolia","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1,0.9,0.6,"","","",NA,NA
"Steinchisma laxum","Steinchisma laxum","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",0.6,NA,0.3,"","","",1e-04,NA
"Stellaria media","Stellaria media","","","White",0.6,0.3,NA,NA,"","Herb","","",2,4.88,1,"Annual","C3",0.8,0.202666666666667,0.01,"Biotic","Insect","",0.0025233555,536.81
"Stemodia verticillata","Stemodia verticillata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",0.3,NA,NA,"","","",NA,NA
"Stenotaphrum","Stenotaphrum dimidiatum","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.4,NA,0.05,"","","",NA,NA
"Stenotaphrum dimidiatum","Stenotaphrum dimidiatum","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.4,NA,0.05,"","","",NA,NA
"Stephania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephostachys mertensii","Stephostachys mertensii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Sterculia setigera","Sterculia setigera","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",12.19214826,15,NA,"","","",0.39852,NA
"Sterculia tragacantha","Sterculia tragacantha","Autochorous","Autochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",24.38429651,20,NA,"","","",NA,NA
"Stigmaphyllon sinuatum","Stigmaphyllon sinuatum","Anemochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Striga asiatica","Striga asiatica","","","",NA,NA,NA,NA,"","Herb","Forb","",1.25,NA,NA,"Annual","",0.44,0.2375,0.05,"","","",0.00014185,NA
"Striga aspera","Striga aspera","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.457200914,0.4,0.152400305,"","","",5.5e-06,NA
"Striga hermonthica","Striga hermonthica","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,0.552401853,0.4,"Biotic","Insect","Insect",7.1e-06,NA
"Strophanthus hispidus","Strophanthus hispidus","Anemochorous","","",NA,NA,NA,NA,"","","Shrub","",12.5,NA,NA,"Perennial","",3,8.75,2,"","","",NA,NA
"Strophanthus sarmentosus","Strophanthus sarmentosus","","","",NA,NA,NA,NA,"","","Shrub","",3,NA,2,"Perennial","",6.096074128,25,NA,"","","",0.02079,NA
"Struchium sparganophorum","Struchium sparganophorum","Hydrochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",1.219214826,0.6,0.304803706,"","","",3e-04,NA
"Strychnos spinosa","Strychnos spinosa","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Tree","Shrub","",NA,NA,NA,"Perennial","",10,7,1,"Biotic","Insect","Insect",0.377165,NA
"Stylochaeton","Stylochaeton hypogeum_Stylochaeton lancifolium","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,0.3,NA,"","","",NA,NA
"Stylochaeton hypogeum","Stylochaeton hypogeum","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,0.3,NA,"","","",NA,NA
"Stylochaeton lancifolium","Stylochaeton lancifolium","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Stylosanthes","Stylosanthes erecta_Stylosanthes guianensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",2,0.609607413,0,"","","",0.00280583333333333,NA
"Stylosanthes erecta","Stylosanthes erecta","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,0.609607413,NA,"","","",NA,NA
"Stylosanthes guianensis","Stylosanthes guianensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",2,NA,0,"","","",0.00280583333333333,NA
"Symphyotrichum squamatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synedrella nodiflora","Synedrella nodiflora","Zoochorous","","Yellow",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",1.5,1,0,"","","",0.000635,NA
"Syzygium samarangense","Syzygium samarangense","","","",NA,NA,NA,NA,"","Tree","Tree","",16,NA,6.5,"Perennial","C3",15,12,5,"Biotic","Insect","Bee",NA,NA
"Tabebuia pallida","Tabebuia pallida","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"","C3",NA,NA,NA,"","","",NA,NA
"Tacca leontopetaloides","Tacca leontopetaloides","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",1,1.25,0.2,"","","",0.01642375,NA
"Tagetes","Tagetes erecta","","","",NA,NA,5,4.5,"","Herb","Forb","",NA,NA,NA,"Annual","C3",1.5,0.55,0.1,"Biotic","Insect","Insect",0.0031583335,NA
"Tagetes erecta","Tagetes erecta","","","",NA,NA,5,4.5,"","Herb","Forb","",NA,NA,NA,"Annual","C3",1.5,0.55,0.1,"Biotic","Insect","Insect",0.0031583335,NA
"Talinum","Talinum fruticosum","","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"Perennial","",NA,0.5,NA,"","","",0.00017,NA
"Talinum fruticosum","Talinum fruticosum","","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"Perennial","",NA,0.5,NA,"","","",0.00017,NA
"Tamarindus indica","Tamarindus indica","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",25,16.6666666666667,5,"Biotic","Insect","Insect",0.903817143,NA
"Tamarix senegalensis","Tamarix senegalensis","","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","",NA,2.5,NA,"","","",NA,NA
"Taraxacum","Taraxacum sect.","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,5.5,"Perennial","C3",0.6,0.15,0.01,"Biotic","Insect","",0.000557181666666667,290.7
"Tarenaya aculeata","Cleome aculeata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",0.609607413,NA,NA,"","","",NA,NA
"Tectona grandis","Tectona grandis","Unspecialized","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",NA,30,NA,"Biotic","Insect","",0.696373333,NA
