"accepted_taxa","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor"
"Hyptis lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Icacina mannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impatiens trilobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impatiens walleriana","Impatiens walleriana","Hémicryptophytaies des sources laurasiennes","Introduit (afrique tropicale)","","Autochore","","Hémicryptophytaie","Capsule","Racème simple","Entomogame, autogame","Hermaphrodite"
"Imperata brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperata cylindrica","Imperata cylindrica","Roselières et cariçaies méditerranéennes","Cosmopolite(thermo)","Blanc","Barochore","5-7","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Indigastrum parviflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera berhautiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera colutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera dendroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera geminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera hendecaphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera nummulariifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera polysphaera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera secundiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera spicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera stenophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera strobilifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera tetrasperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera trita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iphigenia pauciflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea","Ipomoea batatas_Ipomoea indica_Ipomoea purpurea","Annuelles commensales des cultures_Friches vivaces xérophiles, mésoméditerranéennes orientales","Introduit (amér. du sud)_Introduit (amér. tropicale)_Subtropical","Blanc_Rose","Barochore","","Hémicryptophytaie_Thérophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Ipomoea alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea arachnosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea argentaurata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea asarifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea batatas","Ipomoea batatas","Friches vivaces xérophiles, mésoméditerranéennes orientales","Introduit (amér. du sud)","Blanc","Barochore","","Hémicryptophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Ipomoea bolusiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea cairica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea carnea fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea coptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea eriocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea hederifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea heterotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea indica","Ipomoea indica","Friches vivaces xérophiles, mésoméditerranéennes orientales","Subtropical","","Barochore","","Hémicryptophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Ipomoea involucrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea muricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea obscura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea ochracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea pes-caprae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea pes-tigridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea purpurea","Ipomoea purpurea","Annuelles commensales des cultures","Introduit (amér. tropicale)","Rose","Barochore","","Thérophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Ipomoea pyrophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea quamoclit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea sagittifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea setifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea staphylina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea tiliacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea triloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea vagans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isachne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isachne kiyalaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum afrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum koleostachys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum rugosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isolepis fluitans","Isolepis fluitans","Parvogéophytaies amphibies exondables, oligotrophiles, atlantiques, planitiaires-collinéennes, acidophiles, des grèves sablonneuses ou tourbeuses","Cosmopolite","Vert","Barochore","6-9","Hémicryptophytaie","Akène","Épi simple","Anémogame","Monoïque"
"Isolona campanulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isolona cooperi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacquemontia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacquemontia tamnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasminum pauciflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jatropha curcas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jatropha gossypiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus effusus","Juncus effusus","Jonçaies des prés paratourbeux acidophiles, atlantiques","Cosmopolite","Vert","Épizoochore","6-9","Hémicryptophytaie","Capsule","Cyme de glomérules","Anémogame","Hermaphrodite"
"Justicia anselliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justicia flava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justicia ladanoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kalanchoe crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kallstroemia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keetia leucantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khaya senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kohautia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kohautia tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lablab purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laccosperma secundiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagenaria breviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagenaria guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera alata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera crispata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium amplexicaule","Lamium amplexicaule","Annuelles commensales des cultures sarclées basophiles, mésothermes","Eurasiatique","Rose","Barochore","3-10","Thérophytaie","Akène","Glomérules","Entomogame, autogame","Hermaphrodite"
"Landolphia hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lannea nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lantana camara","Lantana camara","Fourrés arbustifs et d'arbrisseaux médio-européens, planitiaires à montagnards","Introduit (amér. tropicale)","Rose, jaune","Endozoochore","","Nanophanérophytaie","Baie","","Entomogame","Hermaphrodite"
"Lantana rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lantana trifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laportea aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapsana communis","Lapsana communis","Annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles, hémisciaphiles, mésohydriques","Eurasiatique septentrional","Jaune","Barochore","6-8","Thérophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite"
"Lasimorpha senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea rarifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea taraxacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lavandula angustifolia","Lavandula angustifolia","Garides basophiles orophiles, mésohydriques, des préalpes","Orophyte méditerranéen occ.","Bleu","Barochore","6-8","Parvochaméphytaie","Akène","Glomérules spiciformes","Entomogame","Hermaphrodite"
"Lecaniodiscus cupanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ledebouria sudanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leersia hexandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemna","Lemna aequinoctialis_Lemna minor","Voiles de lentilles aquatiques, annuelles, libres, flottantes en surface, européennes, eutrophiles_Voiles de lentilles aquatiques, annuelles, libres, flottantes en surface, holarctiques","Cosmopolite","Vert","Hydrochore","4-6","Thérophytaie","Akène","Spadice","Hydrogame","Monoïque"
"Lemna aequinoctialis","Lemna aequinoctialis","Voiles de lentilles aquatiques, annuelles, libres, flottantes en surface, européennes, eutrophiles","Cosmopolite","Vert","Hydrochore","","Thérophytaie","Akène","Spadice","Hydrogame","Monoïque"
"Lemna minor","Lemna minor","Voiles de lentilles aquatiques, annuelles, libres, flottantes en surface, holarctiques","Cosmopolite","Vert","Hydrochore","4-6","Thérophytaie","Akène","Spadice","Hydrogame","Monoïque"
"Leonotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonotis nepetifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonurus sibiricus","Leonurus sibiricus","Friches vivaces eutrophiles, mésohydriques, héliophiles","Introduit (asie centr.)","","Épizoochore","","Hémicryptophytaie","Akène","Glomérules","Entomogame","Hermaphrodite"
"Lepidagathis alopecuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium africanum","Lepidium africanum","Friches annuelles rudérales, européennes","Introduit (afrique tropicale)","Blanc","","","Thérophytaie","Silique","Racème simple","Autogame","Hermaphrodite"
"Lepidium bonariense","Lepidium bonariense","Friches annuelles rudérales, européennes","Introduit (amér. du sud)","Blanc","","","Thérophytaie","Silique","Racème simple","Autogame","Hermaphrodite"
"Lepidium didymum","Lepidium didymum","Annuelles eutrophiles des tonsures surpiétinées","Introduit (amér. du sud)","Blanc","Anémochore","5-9","Thérophytaie","Silique","Racème simple","Autogame","Hermaphrodite"
"Lepistemon owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptactina densiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia lanceolata lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia pyrotechnica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptocarydion vulpiastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa caerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoderris ledermannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoderris miegei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptothrium senegalense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepturus radicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucaena leucocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucas lavandulifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucas martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linzia ituriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipotriche scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia chevalieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litsea glutinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litsea monopetala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lobelia cliffortiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium perenne","Lolium perenne","Prairies mésohydriques européennes, pâturées, planitaires à montagnardes","Circumboréal","Vert","Barochore","5-10","Hémicryptophytaie","Caryopse","Épi d'épillets","Anémogame","Hermaphrodite"
"Lonchocarpus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera confusa","Lonicera confusa","Matorrals méditerranéens","Introduit (asie centr.)","","Endozoochore","","Parvophanérophytaie","Baie","Cyme multipare","Entomogame","Hermaphrodite"
"Lophira lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotononis rostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus arabicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudetia togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia adscendens diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia decurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia leptocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia octovalvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia stenorraphe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luffa aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luziola subintegra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzula campestris","Luzula campestris","Pelouses acidophiles médio-européennes, planitiaires-collinéennes","Cosmopolite","Marron","Myrmécochore","4-6","Hémicryptophytaie","Capsule","Cyme de glomérules","Anémogame","Hermaphrodite"
"Lygodium flexuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia arvensis arvensis","Lysimachia arvensis subsp. arvensis","Annuelles commensales des cultures","Cosmopolite","Rose","Barochore","5-11","Thérophytaie","Pyxide","Racème simple","Entomogame, autogame","Hermaphrodite"
"Lysimachia foemina","Lysimachia foemina","Annuelles commensales des moissons basophiles, mésothermes","Cosmopolite","Bleu","Barochore","5-11","Thérophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Macropsychanthus comosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium atropurpureum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium lathyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium longepedunculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrotyloma biflorum biflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maesobotrya barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malacantha alnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malachra radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus oppositifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva","Malva parviflora","Friches annuelles, nitrophiles, thermophiles, vernales","Méditerranéen","Blanc","Barochore","4-7","Thérophytaie","Capsule","Racème de cymes unipares hélicoïdes","Entomogame","Hermaphrodite"
"Malva parviflora","Malva parviflora","Friches annuelles, nitrophiles, thermophiles, vernales","Méditerranéen","Blanc","Barochore","4-7","Thérophytaie","Capsule","Racème de cymes unipares hélicoïdes","Entomogame","Hermaphrodite"
"Malvastrum coromandelianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mangifera indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manihot esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manotes expansa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mansonia altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marantochloa cuspidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mareya micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Margaritaria discoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsilea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsilea minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsypianthes chamaedrys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mecardonia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago","Medicago polymorpha","Annuelles des tonsures basophiles, européennes","Cosmopolite","Jaune","Épizoochore","","Thérophytaie","Gousse","Racème capituliforme","Autogame","Hermaphrodite"
"Medicago polymorpha","Medicago polymorpha","Annuelles des tonsures basophiles, européennes","Cosmopolite","Jaune","Épizoochore","","Thérophytaie","Gousse","Racème capituliforme","Autogame","Hermaphrodite"
"Megathyrsus maximus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melaleuca quinquenervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melasma melampyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melastoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melastomastrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melia azedarach","Melia azedarach","Associations arborescentes climaciques des forêts caducifoliées de l'asie orientale continentale, tempérée modale","Introduit (asie mér.)","Blanc, rose","Endozoochore","","Magnophanérophytaie","Baie","","Entomogame","Hermaphrodite"
"Melicope pteleifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus albus","Melilotus albus","Friches vivaces mésohydriques, médio-européennes","Eurasiatique","Blanc","Épizoochore","6-9","Hémicryptophytaie","Gousse","Racème simple","Entomogame","Hermaphrodite"
"Melilotus indicus","Melilotus indicus","Annuelles des tonsures hygrophiles à hydrophiles, européennes","Eurasiatique","Jaune","Épizoochore","5-7","Thérophytaie","Gousse","Racème simple","Entomogame","Hermaphrodite"
"Melinis minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melinis repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melliniella micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melochia corchorifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melochia pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia emarginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia hederacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia pterygocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesosphaerum pectinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesosphaerum suaveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mezoneuron benthamianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miconia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miconia crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microchloa indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micrococca mercurialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microdesmis keayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milicia excelsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milicia regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millettia thonningii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millettia zechiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa candollei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa diplotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa pigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa pudica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mirabilis jalapa","Mirabilis jalapa","Ourlets internes et clairières vivaces médio-européennes, eutrophiles, mésohygrophiles","Introduit (amér. du sud)","Rose, jaune, blanc","","","Hémicryptophytaie","","","Entomogame","Hermaphrodite"
"Miscanthidium violaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitracarpus hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitragyna inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitragyna stipulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mollugo","Mollugo verticillata","Annuelles eutrophiles des tonsures surpiétinées","Introduit (amér. tropicale)","Blanc","Barochore","","Thérophytaie","Capsule","","Entomogame","Hermaphrodite"
"Mollugo verticillata","Mollugo verticillata","Annuelles eutrophiles des tonsures surpiétinées","Introduit (amér. tropicale)","Blanc","Barochore","","Thérophytaie","Capsule","","Entomogame","Hermaphrodite"
"Momordica balsamina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica charantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mondia whitei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monechma ciliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodora tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodora undulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montrichardia arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moorochloa eruciformis","Moorochloa eruciformis","Annuelles commensales des moissons basophiles, thermophiles","Méditerranéen","Vert","Épizoochore","8-10","Thérophytaie","Caryopse","Épi d'épillets","Anémogame","Hermaphrodite"
"Morinda citrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morinda lucida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Motandra paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna flagellipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna pruriens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murdannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murdannia nudiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
