"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Indigofera tetrasperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera trita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iphigenia pauciflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea",NA,NA,NA,NA,NA,NA,NA,"Ipomoea batatas_Ipomoea indica_Ipomoea purpurea","2","Local non-specific dispersal",2,31.2
"Ipomoea alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea aquatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea arachnosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea argentaurata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea asarifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea batatas",NA,NA,NA,NA,NA,NA,NA,"Ipomoea batatas","","Local non-specific dispersal",NA,NA
"Ipomoea bolusiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea cairica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea carnea fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea coptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea eriocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea hederifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea heterotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea indica",NA,NA,NA,NA,NA,NA,NA,"Ipomoea indica","2","Local non-specific dispersal",0.9,NA
"Ipomoea involucrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea muricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea nil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea obscura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea ochracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea pes-caprae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea pes-tigridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea purpurea",NA,NA,NA,NA,NA,NA,NA,"Ipomoea purpurea","2","Local non-specific dispersal",3.1,31.2
"Ipomoea pyrophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea quamoclit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea sagittifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea setifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea staphylina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea tiliacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea triloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea vagans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isachne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isachne kiyalaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum afrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum koleostachys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischaemum rugosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isolepis fluitans","Isolepis fluitans",8.2,10.7,2,3.4,0,NA,"Isolepis fluitans","2","Local non-specific dispersal",0.3375,0.372
"Isolona campanulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isolona cooperi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacquemontia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacquemontia tamnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasminum pauciflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jatropha curcas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jatropha gossypiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juncus effusus","Juncus effusus",7.4,8,3.8,4.5,0.1,NA,"Juncus effusus","2","Local non-specific dispersal",0.77,0.0164358024814814
"Justicia anselliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justicia flava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justicia ladanoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kalanchoe crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kallstroemia pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keetia leucantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khaya senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kohautia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kohautia tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lablab purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laccosperma secundiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactuca indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagenaria breviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lagenaria guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera alata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera crispata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laggera gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium amplexicaule","Lamium amplexicaule",7.2,3.9,6.9,6.5,0,6.1,"Lamium amplexicaule","3","Myrmecochory",0.173666666666667,0.592933333333333
"Landolphia hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lannea nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lantana camara",NA,NA,NA,NA,NA,NA,NA,"Lantana camara","2","Local non-specific dispersal",0.825,9.84
"Lantana rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lantana trifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laportea aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lapsana communis","Lapsana communis",NA,NA,7,6.6,0,NA,"Lapsana communis","3","Anemochory",0.6425,1.18315
"Lasimorpha senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea nana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea rarifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Launaea taraxacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lavandula angustifolia","Lavandula angustifolia",8.5,3.5,3.5,5.5,0,6,"Lavandula angustifolia","2","Local non-specific dispersal",0.525,1.190725
"Lecaniodiscus cupanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ledebouria sudanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leersia hexandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemna","Lemna minor",7,11.1,5.6,NA,0.6,NA,"Lemna minor","6","Epizoochory",0.007625,1
"Lemna aequinoctialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lemna minor","Lemna minor",7,11.1,5.6,NA,0.6,NA,"Lemna minor","6","Epizoochory",0.007625,1
"Leonotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonotis nepetifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonurus sibiricus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidagathis alopecuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium africanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium bonariense",NA,NA,NA,NA,NA,NA,NA,"Lepidium bonariense","2","Local non-specific dispersal",0.335,0.26
"Lepidium didymum","Lepidium didymum",8.7,4.7,6.5,6,0,NA,"Lepidium didymum","1","Local non-specific dispersal",0.172916666666667,0.5637366667
"Lepistemon owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptactina densiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia lanceolata lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptadenia pyrotechnica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptocarydion vulpiastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa caerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoderris ledermannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoderris miegei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptothrium senegalense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepturus radicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucaena leucocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucas lavandulifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucas martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindernia rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linzia ituriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipotriche scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia chevalieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lippia multiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litsea glutinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litsea monopetala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lobelia cliffortiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lolium perenne","Lolium perenne",8,NA,6.3,6.1,0.1,NA,"Lolium perenne","2","Local non-specific dispersal",0.325,1.9622037037037
"Lonchocarpus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lonicera confusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lophira lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotononis rostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus arabicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loudetia togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia adscendens diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia decurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia leptocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia octovalvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ludwigia stenorraphe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luffa aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luziola subintegra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzula campestris","Luzula campestris aggr.",7.3,NA,2.3,NA,0,NA,"Luzula campestris","3","Myrmecochory",0.199,0.624857025641025
"Lygodium flexuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia arvensis arvensis","Anagallis arvensis",6.8,4.4,NA,NA,0.3,6.2,"Anagallis arvensis","1","Local non-specific dispersal",0.176125,0.485186666666666
"Lysimachia foemina","Anagallis foemina",7.9,3.7,5.2,7.8,0.3,6.7,"Anagallis foemina","1","Local non-specific dispersal",0.146875,0.5231
"Macropsychanthus comosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium atropurpureum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium lathyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroptilium longepedunculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrotyloma biflorum biflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maesobotrya barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malacantha alnifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malachra radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallotus oppositifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva","Malva parviflora",7.5,3.8,7.8,7,0,NA,"Malva parviflora","2","Local non-specific dispersal",0.305,2.7
"Malva parviflora","Malva parviflora",7.5,3.8,7.8,7,0,NA,"Malva parviflora","2","Local non-specific dispersal",0.305,2.7
"Malvastrum coromandelianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mangifera indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manihot esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manotes expansa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mansonia altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marantochloa cuspidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mareya micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Margaritaria discoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsilea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsilea minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marsypianthes chamaedrys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mecardonia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago","Medicago polymorpha aggr.",8.5,3.5,5.3,6.4,0.1,NA,"Medicago polymorpha","1","Local non-specific dispersal",0.295416666666667,37.3946666666666
"Medicago polymorpha","Medicago polymorpha aggr.",8.5,3.5,5.3,6.4,0.1,NA,"Medicago polymorpha","1","Local non-specific dispersal",0.295416666666667,37.3946666666666
"Megathyrsus maximus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melaleuca quinquenervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melasma melampyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melastoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melastomastrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melia azedarach",NA,NA,NA,NA,NA,NA,NA,"Melia azedarach","6","Endozoochory",9.055,271.65
"Melicope pteleifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus albus","Melilotus albus",8.7,NA,3.9,6.8,0.1,NA,"Melilotus albus","2","Local non-specific dispersal",0.946666666666667,2.32316666666666
"Melilotus indicus","Melilotus indicus",8.3,4.2,5.8,6.5,1,NA,"Melilotus indicus","2","Local non-specific dispersal",0.321666666666667,2.27149999999999
"Melinis minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melinis repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melliniella micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melochia corchorifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melochia pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia emarginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia hederacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merremia pterygocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesosphaerum pectinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesosphaerum suaveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mezoneuron benthamianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miconia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miconia crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microchloa indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micrococca mercurialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microdesmis keayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mikania micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milicia excelsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milicia regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millettia thonningii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millettia zechiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa candollei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa diplotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa pigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa pudica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mirabilis jalapa",NA,NA,NA,NA,NA,NA,NA,"Mirabilis jalapa","2","Local non-specific dispersal",0.7,68
"Miscanthidium violaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitracarpus hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitragyna inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitragyna stipulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mollugo",NA,NA,NA,NA,NA,NA,NA,"Mollugo verticillata","1","Local non-specific dispersal",0.1,0.06
"Mollugo verticillata",NA,NA,NA,NA,NA,NA,NA,"Mollugo verticillata","1","Local non-specific dispersal",0.1,0.06
"Momordica balsamina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica charantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Momordica foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mondia whitei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monechma ciliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodora tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodora undulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montrichardia arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moorochloa eruciformis","Moorochloa eruciformis",8,8.5,6.5,8,0,9.3,"Moorochloa eruciformis","2","Local non-specific dispersal",0.425,NA
"Morinda citrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morinda lucida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Motandra paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna flagellipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mucuna pruriens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murdannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murdannia nudiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murdannia simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murraya koenigii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murraya paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Musa paradisiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mussaenda elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mussaenda tristigmatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis discolor","Myosotis discolor",7.8,3.6,2.6,3.9,0,6.8,"Myosotis discolor","1","Local non-specific dispersal",0.2545,0.20105875
"Najas pectinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Napoleonaea vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nasturtium officinale","Nasturtium officinale",7.1,10.4,NA,6.6,0.3,NA,"Nasturtium officinale","2","Local non-specific dispersal",0.388,0.193833333333333
"Nauclea latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelsonia canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neojeffreya decurrens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neonotonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neonotonia wightii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neoschumannia kamerunensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nephrolepis biserrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neptunia plena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neptunia prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nesogordonia papaverifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neustanthus phaseoloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newbouldia laevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicandra physalodes",NA,NA,NA,NA,NA,NA,NA,"Nicandra physalodes","2","Local non-specific dispersal",0.687,1.0854
"Nicotiana plumbaginifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nidorella aegyptiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nymphaea alba","Nymphaea alba",7.8,11.1,5.7,6.8,0,NA,"Nymphaea alba","","Hydrochory",0.876666666666667,4.10336363636363
"Nymphaea lotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nymphaea rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nymphaea rudgeana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nymphoides indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ocimum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ocimum basilicum",NA,NA,NA,NA,NA,NA,NA,"Ocimum basilicum","3","Myrmecochory",0.33,1.25
"Ocimum gratissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenothera glazioviana","Oenothera glazioviana",8.8,3.5,4.8,6.3,0,6.8,"Oenothera glazioviana","2","Local non-specific dispersal",0.982777777777778,0.61545
"Oenothera rosea",NA,NA,NA,NA,NA,NA,NA,"Oenothera rosea","2","Local non-specific dispersal",0.38,0.07
"Oenothera stricta",NA,NA,NA,NA,NA,NA,NA,"Oenothera stricta","2","Local non-specific dispersal",0.585,0.414
